ceiling_height,area,room_count,floor_count,floor ,distance_to_center,owner_enc,district_Есильский р-н,district_Нура р-н,district_Сарайшык р-н,district_Сарыарка р-н,district_р-н Байконур,house_type_монолитный дом,house_type_панельный дом,year_category,price_per_m2
3.0,64.98,2.0,12.0,16.0,3.899620363498144,0,0,0,1,0,0,1,0,7,676000.0
2.8,173.0,4.0,13.0,4.0,5.565153844155189,0,0,0,0,0,0,1,0,7,404624.2774566474
3.3,51.0,2.0,18.0,14.0,2.2903737908777044,0,0,0,0,0,0,1,0,7,1000000.0
3.0,98.66,3.0,13.0,16.0,2.9460969911778054,0,0,1,0,0,0,1,0,7,766000.0
3.0,144.9,4.0,13.0,12.0,3.1070649092430376,0,0,1,0,0,0,0,0,7,870000.0
3.0,41.0,1.0,12.0,8.0,3.5861218340370717,0,0,1,0,0,0,0,0,7,778048.7804878049
3.0,99.8,3.0,9.0,3.0,7.440698317033757,0,0,0,0,0,0,0,0,7,418381.7635270541
2.7,61.0,2.0,9.0,3.0,3.650019611496563,0,0,0,1,0,0,0,0,7,675409.8360655737
3.0,45.0,2.0,12.0,4.0,5.0925564521228806,0,0,1,0,0,0,1,0,6,700000.0
2.7,86.0,3.0,9.0,5.0,5.533762694098077,0,0,0,0,0,0,0,0,6,425581.3953488372
3.15,82.0,3.0,5.0,5.0,3.685222157010208,0,0,0,0,1,0,0,0,4,475609.756097561
3.0,72.1,2.0,11.0,12.0,4.639291099866582,0,0,1,0,0,0,1,0,7,622000.0
3.0,68.9,3.0,11.0,12.0,4.781465691896186,0,0,1,0,0,0,1,0,7,652000.0
3.0,82.7,3.0,10.0,22.0,3.1042569977602232,0,0,1,0,0,0,1,0,7,660798.0652962514
3.0,90.0,3.0,9.0,3.0,2.74588036536166,0,0,1,0,0,0,1,0,7,864197.5222222222
2.8,204.0,5.0,11.0,3.0,2.641969547491727,0,0,0,0,0,1,1,0,5,563725.4901960784
3.0,51.0,2.0,19.0,12.0,4.88267872473182,0,1,0,0,0,0,1,0,7,1164705.8823529412
3.0,90.0,3.0,9.0,6.0,3.5861218340370717,0,0,1,0,0,0,0,0,7,744444.4444444445
3.0,92.0,3.0,15.0,2.0,3.6523161833817843,0,0,0,0,0,0,1,0,7,673913.0434782609
2.7,57.0,3.0,11.0,9.0,5.666726711120272,0,0,0,0,0,0,1,0,6,508771.9298245614
3.0,87.3,3.0,16.0,18.0,5.037670020955237,0,0,1,0,0,0,1,0,7,540000.0
2.8,50.0,2.0,24.0,21.0,5.414166214467195,0,0,0,0,0,1,1,0,6,569980.0
2.7,90.0,4.0,12.0,5.0,2.833038683880905,0,1,0,0,0,0,1,0,7,633333.3333333334
2.75,63.0,2.0,9.0,7.0,5.102750598953877,0,0,1,0,0,0,0,0,7,484126.98412698414
3.0,39.7,1.0,10.0,22.0,3.1042569977602232,0,0,1,0,0,0,1,0,7,634433.249370277
3.0,105.0,3.0,8.0,7.0,4.52198907277463,0,1,0,0,0,0,1,0,6,638095.2285714286
2.65,41.9,1.0,9.0,9.0,5.856187934933634,0,1,0,0,0,0,1,0,7,689477.8042959428
3.0,42.1,1.0,11.0,12.0,4.639291099866582,0,0,1,0,0,0,1,0,7,695000.0
3.0,63.9,2.0,12.0,11.0,2.704431307602911,0,1,0,0,0,0,0,0,7,876369.3270735524
3.0,70.64,3.0,13.0,16.0,3.204901627458719,0,1,0,0,0,0,1,0,7,1018000.0
